date,label,statement
2019-04-18,real,The ‘On Politics’ Mueller Report Cheat Sheet
2019-05-04,real,On Politics: The Biggest Stories of the Week
2019-04-11,real,Twitter Is a Big Deal in Politics. That Doesn’t Make It Right.
2019-04-29,real,"Jonathan Greenblatt, Head of the A.D.L., on the Politics of White Nationalism"
2019-04-30,real,The Zombie Style in American Politics
2019-04-12,real,"Is America Hopelessly Polarized, or Just Allergic to Politics?"
2019-04-23,real,On Politics: Pelosi Cautions on Impeachment
2018-11-06,real,"Do Americans Dislike ‘Partisan’ Politics, or Just Other Partisans?"
2019-04-27,real,On Politics: The Biggest Stories of the Week
2019-02-07,real,The Political ‘Center’ Isn’t Gone — Just Disputed
2019-05-02,real,On Politics: Barr Faces Senate Scrutiny
2019-04-20,real,On Politics: The Biggest Stories of the Week
2019-04-25,real,On Politics: Biden Enters 2020 Race
2019-03-29,real,On Politics: It’s Trump’s Economy
2019-04-23,real,Living in the Age of Political Memes
2019-04-30,real,On Politics: Rod Rosenstein to Step Down
2019-04-18,real,On Politics: Mueller Report to Be Released Today
2019-04-13,real,On Politics: The Biggest Stories of the Week
2019-04-15,real,"On Politics: Mayor Pete, the College Years"
2019-04-06,real,On Politics: The Biggest Stories of the Week
2019-04-19,real,On Politics: Complete Coverage of the Mueller Report
2019-03-30,real,On Politics: The Biggest Stories of the Week
2019-04-29,real,On Politics: Inside the Obama-Biden Relationship
2019-04-17,real,On Politics: Trump’s United Base of America
2019-05-03,real,On Politics: Pelosi Accuses Barr of Breaking the Law
2019-03-06,real,Germany’s New Political Divide
2019-03-23,real,On Politics: The Biggest Stories of the Week
2019-04-08,real,On Politics: Democrats and the Death Penalty
2019-04-26,real,"On Politics: ‘Sorry’ Is Not Enough, Anita Hill Says"
2019-05-01,real,On Politics: Mueller Objected to Barr’s Description of His Findings
2019-04-11,real,Political Ads on Facebook
2019-05-06,real,On Politics: Trump Says Mueller Should Not Testify
2019-04-10,real,On Politics: The U.S. Is Not as ‘Full’ as Trump Thinks
2019-05-01,real,On Politics: Mueller Objected to Barr’s Description of His Findings
2019-04-09,real,On Politics: Trump’s Purge of Homeland Security
2019-04-05,real,On Politics: Trump Goes After Biden
2019-04-02,real,Biden’s Tactile Politics Threaten His Return in the #MeToo Era
2019-03-18,real,On Politics: The Pro-Pot Primary
2019-01-10,real,The Political Benefits of Shutting It Down
2019-01-17,real,Nancy Pelosi’s Political Flex
2019-04-24,real,On Politics: Supreme Court Hears Census Citizenship Question
2019-03-16,real,On Politics: The Biggest Stories of the Week
2019-03-06,real,On Politics: Trump’s Checks to Cohen
2019-02-28,real,On Politics: Michael Cohen Testifies
2019-04-18,real,Politics Lost in Translations
2019-04-07,real,"Democrats Rethink the Death Penalty, and Its Politics"
2019-04-11,real,On Politics: Barr to Look Into F.B.I. ‘Spying’ on Trump Campaign
2019-04-16,real,On Politics: Trump’s Trade Style Could Cost U.S.
2019-01-26,real,On Politics: The Biggest Stories of the Week
2019-03-19,real,On Politics: Trump’s History With Deutsche Bank
2019-04-01,real,Notable Deaths 2019: Politics and Public Affairs
2019-04-16,real,On Politics: Trump’s Trade Style Could Cost U.S.
2019-03-19,real,On Politics: Trump’s History With Deutsche Bank
2019-03-12,real,On Politics: Pelosi Says Impeachment Is ‘Not Worth It’
2019-03-13,real,On Politics: Mueller Has Washington Spinning
2019-03-02,real,On Politics: The Biggest Stories of the Week
2019-02-02,real,On Politics: The Biggest Stories of the Week
2019-03-09,real,On Politics: The Biggest Stories of the Week
2019-01-12,real,On Politics: The Biggest Stories of the Week
2019-01-05,real,On Politics: The Biggest Stories of the Week
2019-03-20,real,On Politics: Pompeo’s Iran Plan Deepens Tensions
2019-01-05,real,On Politics: The Biggest Stories of the Week
2019-02-28,real,"On Politics With Lisa Lerer: CPAC, Trumpified"
2019-01-19,real,On Politics: The Biggest Stories of the Week
2019-03-21,real,On Politics: Fed Says No Rate Increases in 2019
2019-04-04,real,On Politics: Investigators for Mueller Say Barr Underplayed Report
2019-03-13,real,Antitrust Returns to American Politics
2019-02-23,real,On Politics: The Biggest Stories of the Week
2019-04-16,real,Trump’s History of Using 9/11 for Political Attacks
2019-04-03,real,On Politics: Trump Backs Off Health Care Fight
2019-03-14,real,On Politics: Beto O’Rourke Enters 2020 Race
2019-03-15,real,On Politics: Senate Rejects Trump’s National Emergency
2019-02-17,real,Do Women in Politics Face a Double Standard?
2019-01-03,real,Is ‘Likability’ in Politics Sexist? Yes. It’s Also Outdated.
2019-03-26,real,"On Politics: With Mueller Inquiry Over, Trump Goes on the Offensive"
2019-02-16,real,On Politics: The Biggest Stories of the Week
2019-03-28,real,On Politics: Inside the White House Fight Over Obamacare
2019-02-11,real,On Politics With Lisa Lerer: The Sexism Shield
2019-02-27,real,The Deepening ‘Racialization’ of American Politics
2019-03-31,real,Political Handlers With Trump Ties Take Their Election Playbooks to Africa
2019-04-25,real,The Latest: Lawyer: Prosecution of Judge Is 'Political'
2018-12-18,real,On Politics: New Details on Russia’s Efforts to Influence American Politics
2019-04-04,real,"Wisconsin, Ground Zero for 2020 Politics, Looks Like a Tossup Again"
2019-03-27,real,On Politics: Democrats Pivot to Protecting Affordable Care Act
2019-05-05,real,Home State Politics Complicate Message for Some 2020 Dems
2018-12-22,real,On Politics: The Biggest Stories of the Week
2019-02-21,real,"If You Think the Oscars Have Gotten More Political, Here’s Why You’re Right"
2019-04-02,real,On Politics: White House Staffer Alleges Security Clearance Irregularities
2019-03-22,real,On Politics: Trump’s Tweet Reverses Decades of Policy on Israel
2019-03-04,real,On Politics: Behind the Failed Trump-Kim Summit
2019-03-01,real,On Politics: Trump Ordered Kushner’s Security Clearance
2019-02-24,real,"No Sex, No Politics, No Risk"
2018-12-22,real,On Politics: The Biggest Stories of the Week
2019-04-12,real,"On Politics: Julian Assange, Now in Custody, Faces U.S. Hacking Charge"
2019-02-09,real,On Politics: The Biggest Stories of the Week
2019-03-01,real,Michael Cohen’s Testimony Opens New Phase of Political Turbulence for Trump
2019-03-04,real,2nd Trudeau Minister Resigns as Canada’s Political Crisis Swells
2019-04-02,real,On Politics: White House Staffer Alleges Security Clearance Irregularities
2019-04-23,real,How the Supreme Court’s Decision on the Census Could Alter American Politics
2019-02-13,real,On Politics: Trump ‘Not Happy’ With Border Deal
2019-04-12,real,"On Politics: Julian Assange, Now in Custody, Faces U.S. Hacking Charge"
2018-11-17,real,These Americans Are Done With Politics
2019-03-07,real,Thai Political Party That Nominated King’s Sister Is Dissolved
2019-02-14,real,On Politics: Trump Moves Toward Border Deal
2019-02-19,real,On Politics: Bernie Sanders Announces 2020 Bid
2019-02-07,real,On Politics: Scandals Deepen for Virginia Democrats
2019-05-01,real,The Latest: Powell Says Politics Not Part of Policy Decision
2019-03-01,real,Trudeau Promised a Fresh Approach to Politics. Now He’s Embroiled in Scandal.
2019-02-19,real,Justin Trudeau’s Political Crisis Widens as Top Aide and Friend Resigns
2019-02-26,real,"On Politics: In 2020, Should Democrats Head North or South?"
2019-03-07,real,On Politics: Trade Deficit Hits Record $891 Billion
2019-02-14,real,On Politics: Trump Moves Toward Border Deal
2019-02-19,real,On Politics: Bernie Sanders Announces 2020 Bid
2019-02-18,real,On Politics: Trump’s Emergency Declaration Divides Republicans
2018-12-15,real,On Politics: The Biggest Stories of the Week
2019-03-29,real,Canada’s Former Justice Minister Warned About Political Fallout for Trudeau
2019-05-01,real,Turner Prize Shortlist Promotes Political Artists
2019-05-01,real,The Latest: Powell Says Politics Not Part of Policy Decision
2019-02-04,real,The Empty Quarters of U.S. Politics
2019-02-23,real,The Political Playbook of a Bankrupt California Utility
2019-02-08,real,On Politics: ‘Green New Deal’ Plan Is Unveiled
2019-05-01,real,The Latest: More Clashes in Venezuela's Political Crisis
2019-02-04,real,The Empty Quarters of U.S. Politics
2019-02-13,real,"Bad Policy, Good Politics"
2019-01-07,real,"For Some, the Shutdown Isn’t About Politics. It’s About Bills and Groceries."
2019-03-29,real,"Review: In ‘The Tragedy of Julius Caesar,’ the Political Thrill Is Gone"
2019-02-05,real,On Politics: Scandal Splits Top Virginia Democrats
2019-02-23,real,"After Terror, Polarizing Politics in India"
2019-04-24,real,"In Rohingya Camps, a Political Awakening Faces a Backlash"
2018-10-12,real,Subscribe to the 'On Politics’ Newsletter
2019-02-21,real,On Politics: A Climate Denialist on Trump’s Climate Change Panel
2018-10-12,real,Subscribe to the 'On Politics’ Newsletter
2019-04-30,real,Factbox: The Main Political Parties in South Africa's Election
2019-01-17,real,On Politics: Will the Shutdown Delay the State of the Union?
2019-05-03,real,'Political Chaos' Envelops Tennis as French Open Approaches
2019-02-15,real,On Politics: Trump Plans Emergency Declaration to Build Wall
2019-01-30,real,The ‘Rotten Equilibrium’ of Republican Politics
2019-05-02,real,"Q&A: Theron, Rogen on the Comedy of Politics, and Vice Versa"
2019-01-09,real,On Politics: Trump’s Prime-Time Gamble
2019-02-22,real,On Politics With Lisa Lerer: A Chat With Dan Crenshaw
2019-01-23,real,On Politics With Lisa Lerer: The Kamala Harris Factor
2019-01-09,real,On Politics: Trump’s Prime-Time Gamble
2019-05-02,real,"Q&A: Theron, Rogen on the Comedy of Politics, and Vice Versa"
2019-01-08,real,On Politics: Americans Feel Shutdown’s Bite
2019-01-19,real,"For Trump, the Political Is the Personal"
2019-05-01,real,Is an Attorney General Independent or Political? Barr Rekindles a Debate
2018-10-13,real,On Politics: The Biggest Stories in American Politics This Week
2019-01-01,real,On Politics: Elizabeth Warren Is Running for President
2019-01-25,real,On Politics: Two Bills to End Shutdown Fail
2019-02-13,real,The Political Magic of Us vs. Them
2018-10-13,real,On Politics: The Biggest Stories in American Politics This Week
2019-04-29,real,"After Inconclusive Vote, Spain's Political Future Still Hazy"
2019-01-25,real,On Politics: Two Bills to End Shutdown Fail
2018-12-19,real,On Politics: The End of the Trump Foundation
2019-01-20,real,Politics and the L Train
2018-12-10,real,On Politics: The Race to Avert a Shutdown
2019-01-28,real,On Politics: Did the Shutdown Hurt Trump’s 2020 Chances?
2018-12-01,real,Jon Meacham: George H.W. Bush and the Price of Politics
2019-01-04,real,On Politics: Democrats Take Over the House
2019-01-03,real,On Politics: Trump Rejects Shutdown Compromise
2019-02-05,real,"With Northam Picture, Obscure Publication Plays Big Role in Virginia Politics"
2019-02-01,real,On Politics: Trump Says Border Talks Are a ‘Waste of Time’
2019-04-28,real,Playing Politics With Women’s Lives
2019-01-24,real,On Politics With Lisa Lerer: Is Trump Losing the Fight?
2018-12-28,real,Trump Iraq Visit Is Called a Political Rally
2018-12-05,real,"The Father, the Son and the Sins of Italian Politics"
2019-04-30,real,Venezuela's Political Crisis Exposes Policy Divisions in EU
2019-02-25,real,On Politics: Can Pompeo Keep Trump on Track With North Korea?
2019-02-22,real,On Politics: Trump and Advisers May Have Different Goals for North Korea
2019-01-21,real,On Politics: Democrats Reject Trump’s Deal on Dreamers
2019-01-14,real,The Gender Politics of Fasting
2019-01-07,real,On Politics: Bolton Puts Conditions on a Syria Withdrawal
2019-04-24,real,"Divided on Impeaching Trump, Democrats Wrestle With Duty and Politics"
2019-01-11,real,On Politics: White House Digs In on Wall Demands
2019-01-30,real,On Politics: Intelligence Chiefs Rebut Trump on Iran and North Korea
2019-05-02,real,Baltimore Shifts to New Political Era After Mayor Resigns
2019-02-02,real,When Blackface Photos Cause Political Storms
2019-01-23,real,On Politics: Senate Offers Glimmer of Hope for End to Shutdown
2019-01-31,real,On Politics: Trump Calls His Own Intelligence Officials ‘Naïve’
2019-04-29,real,"Behind the Counter, a New Political Force Takes On The New York Post and Trump"
2019-01-29,real,On Politics: A Pro-Israel Bill Also Aims to Divide Democrats
2019-02-14,real,"Blaming Political Climate, Trumps Give Up on New Hotels"
2018-11-21,real,Politics Isn’t Pretty. But Politicians Are. 
2019-05-05,real,Trump Slams Kentucky Derby Result as 'Political Correctness' After Disqualification
2019-03-15,real,Boeing’s Political Ties and the Decision to Ground the 737 Max
2019-04-29,real,Faltering Brexit Talks Limp on Amid UK Political Impasse
2019-02-20,real,CNN Is Criticized for Hiring Trump Administration Aide as a Political Editor
2019-02-14,real,On Politics With Lisa Lerer: This Quiet Change Could Be a Big Deal in 2020
2018-12-03,real,On Politics: A Trade War Truce
2018-12-08,real,On Politics: The Biggest Stories of the Week
2018-11-29,real,"Australia’s ‘Hollowed Out’ Politics, Explained"
2019-02-02,real,Germany Wants More Women in Politics. But Quotas Are a Bad Idea.
2018-12-03,real,On Politics: A Trade War Truce
2018-12-08,real,On Politics: The Biggest Stories of the Week
2018-12-06,real,On Politics: A Nation Remembers President Bush
2019-03-09,real,How Congress Is Weaponizing a Series of Hot-Button Votes
2018-12-07,real,Immaturity in American Politics
2019-05-05,real,‘S.N.L.’ Welcomes Adam Sandler Back and (Mostly) Avoids Politics
2018-11-07,real,On Politics: The Rundown on Election Results
2018-07-09,real,"If the Supreme Court Is Nakedly Political, Can It Be Just?"
2019-03-09,real,How Congress Is Weaponizing a Series of Hot-Button Votes
2019-05-05,real,‘S.N.L.’ Welcomes Adam Sandler Back and (Mostly) Avoids Politics
2019-02-12,real,Newsom Declares Border Crisis ‘Political Theater’ and Withdraws Troops
2018-10-30,real,The Political Center Keeps Losing
2019-04-17,real,A President of the People or a President of His People?
2019-03-26,real,Justices Display Divisions in New Cases on Voting Maps Warped by Politics
2019-01-10,real,On Politics: Trump Still Considering Emergency Plan for Border Wall
2019-04-03,real,Part 3: The Future of Fox: An Even More Powerful Political Weapon
2018-10-11,real,"On Politics With Lisa Lerer: With Health Care, the Personal Becomes Political"
2019-04-29,real,"IMF: Mideast Economies Face Volatile Politics, Oil Prices"
2019-05-03,real,Baltimore Shifts to New Political Era After Mayor Resigns
2018-12-06,real,France’s Combustible Climate Politics
2018-09-14,real,Modern Political Ideas
2019-01-10,real,On Politics: Trump Still Considering Emergency Plan for Border Wall
2018-12-20,real,On Politics: Trump Orders All Troops Out of Syria
2019-03-21,real,Missing Flowers and Bitter Politics Put a Damper on Afghan Nowruz Party
2019-02-13,real,"Citing Detective’s Death, de Blasio Scraps Political Trip to New Hampshire"
2018-11-29,real,On Politics With Lisa Lerer: After Mississippi
2018-11-08,real,"For Both Parties, a Political Realignment Along Cultural Lines"
2019-01-17,real,Politics Looms Over Empty Seats as Saudi Arabia Faces Qatar in Asian Cup
2018-11-29,real,On Politics With Lisa Lerer: After Mississippi
2019-01-17,real,Politics Looms Over Empty Seats as Saudi Arabia Faces Qatar in Asian Cup
2019-01-18,real,On Politics: Number of Children Separated From Parents May Be Much Higher
2019-03-06,real,Canadian Politics Aren’t Cute. They’re Corrupt.
2019-01-24,real,On Politics: Trump Says He’ll Delay State of the Union Until After Shutdown
2018-11-10,real,On Politics: The Biggest Stories of the Week
2018-11-17,real,The Psychology of Political Polarization
2019-05-02,real,Pepsi Withdraws Indian Potato Farmer Lawsuits After Political Pressure
2018-10-17,real,Neneh Cherry Never Stopped Taking Risks. Now She’s Making Politics Personal.
2018-12-28,real,"David M. O’Brien, Who Studied Supreme Court Politics, Dies at 67"
2019-01-05,real,Is America’s Political Future in San Antonio?
2019-05-02,real,Pepsi Withdraws Indian Potato Farmer Lawsuits After Political Pressure
2019-02-15,real,The Democrats’ Latest Political Misstep on Immigration
2018-11-03,real,How Political Ideology Influences Charitable Giving
2019-03-13,real,Justice Minister at Center of Trudeau Political Tempest Will Not Testify Again
2018-12-20,real,White Identity Politics Aren’t Going Anywhere
2018-12-11,real,On Politics: Midwest Republicans Fear Losing a Gerrymandered Advantage
2018-11-13,real,Germany’s Real Political Divide Is Generational
2019-02-21,real,"Julie Bishop Quits Australian Politics, Adding to Exodus of Conservative Women"
2019-04-27,real,"PBS Film 'KOREA' Eyes Social, Political Tolls of Korean War"
2018-11-06,real,On Politics With Lisa Lerer: Election Night
2019-03-15,real,How Trump’s Brand of Grievance Politics Roiled a Pennsylvania Campaign
2018-09-12,real,Politics and the Supreme Court
2018-10-27,real,On Politics: The Biggest Stories of the Week
2018-12-14,real,"Fred Greenstein, 88, Dies; Political ‘Psychologist’ Assessed Presidents"
2019-02-05,real,"Venezuela’s Opposition Plans to Deliver Aid, Undermining Maduro"
2018-12-10,real,"Political Poetry Is Hot Again. The Poet Laureate Explores Why, and How."
2019-04-12,real,Was Money to Help Women in Brazil’s Politics Funneled to Men?
2018-11-08,real,On Politics: Jeff Sessions Is Ousted as Attorney General
2019-03-01,real,A Gripping Political Mystery in Northern Ireland
2018-10-08,real,The Paranoid Style in G.O.P. Politics
2019-04-24,real,This Could Be One of Trump’s Biggest Political Victories
2019-02-08,real,Is Everyone in Washington Writing a Political Tell-All?
2018-10-20,real,On Politics: The Biggest Stories of the Week
2019-03-14,real,Attack on Government Minister Rattles New Zealand’s Friendly Politics
2019-03-09,real,"Bernie Sanders-Style Politics Are Defining 2020 Race, Unnerving Moderates"
2018-11-15,real,On Politics: Trump Supports a Rewrite of Mandatory Sentencing Laws
2018-10-24,real,Former Surgeons General Recount Political Pressure on the Job
2018-11-13,real,"On Politics: Behind Florida Recount Furor, a G.O.P. Strategy"
2019-05-06,real,U.S. Court Grants Stay in PDVSA Debt Cases Due to Venezuela 'Political Situation'
2018-12-21,real,"On Politics: Mattis Resigns Over Syria Plan, While Putin Praises It"
2018-12-12,real,On Politics: Trump Threatens Shutdown Over Funding for Border Wall
2018-11-13,real,"On Politics: Behind Florida Recount Furor, a G.O.P. Strategy"
2018-11-09,real,On Politics: Gunman Identified in Thousand Oaks Mass Shooting
2019-04-19,real,Mueller Findings Kick Off a Political Tug of War That’s Only Just Beginning
2018-10-08,real,John Kerry Describes Politics as It Used to Be
2018-10-06,real,On Politics: This Week’s Biggest Stories
2018-09-24,real,On Politics: Kavanaugh Nomination in Limbo
2018-10-29,real,In a Deep Blue or Red State? You Can Still Influence Politics 
2018-10-08,real,On Politics: Kavanaugh Takes His Seat
2018-12-13,real,On Politics: Tabloid Company Agrees to Cooperate in Trump Hush-Money Inquiry
2019-03-26,real,Barr’s Declaration on Trump Puts Justice Dept. Back in Political Crucible
2019-02-15,real,"Finally, the N.B.A. Comes to Charlotte"
2019-03-19,real,Canada’s Top Public Servant Is Fourth Official to Quit in Scandal Ensnaring Trudeau
2018-11-21,real,Questionable Political Moves
2018-12-04,real,"On Politics: Trump Calls Trade Truce a Success, but Doubts Linger"
2018-09-18,real,On Politics: Kavanaugh Hearing Scheduled
2018-09-17,real,On Politics: Kavanaugh’s Accuser Speaks
2018-11-29,real,On Politics: Pelosi Secures Nomination for Speaker but Needs Votes to Clinch
2018-11-02,real,On Politics: Trump’s Nationalism Is Repelling Some Suburban Voters
2018-11-29,real,On Politics: Pelosi Secures Nomination for Speaker but Needs Votes to Clinch
2018-11-02,real,On Politics: Trump’s Nationalism Is Repelling Some Suburban Voters
2018-11-27,real,On Politics: Trump and Mexico’s New Leader Square Off Over Migrants
2018-12-14,real,On Politics: Senate Votes to Withdraw U.S. Support for Saudi Arabia’s War in Yemen
2018-12-20,real,Senator Claire McCaskill on Losing Missouri and the Politics of Purity
2018-11-25,real,3 Savvy Comics Who Shine Where Sex and Politics Intersect
2018-11-14,real,On Politics: Democrats Continue to Gain as More Midterm Races Are Finalized
2019-01-26,real,"Michelle Goldberg on Politics, Writing and the Journalism Professor From Hell"
2018-10-26,real,"On Politics: As More Bombs Surface, Investigators Look to Florida"
2019-01-14,real,"Bangkok’s First Biennale: Politics, Temples and Sex"
2018-10-03,real,On Politics With Lisa Lerer: Midterm Conspiracies
2018-10-12,real,On Politics With Lisa Lerer: Asked and Answered
2019-01-26,real,"Michelle Goldberg on Politics, Writing and the Journalism Professor From Hell"
2019-01-14,real,"Bangkok’s First Biennale: Politics, Temples and Sex"
2019-03-31,real,Zuzana Caputova Is Elected Slovakia’s First Female President
2018-12-05,real,"On Politics: After Briefing, Senators Say Saudi Prince’s Guilt Is Clear"
2018-10-10,real,On Politics: Nikki Haley to Resign as Ambassador to the U.N.
2018-10-31,real,On Politics: Trump Wants to End Birthright Citizenship With Executive Order
2018-09-21,real,On Politics: Kavanaugh Hearing Negotiations Continue
2018-10-08,real,On Politics With Lisa Lerer: ‘A Revitalization of Democracy’
2019-03-08,real,A Risk Starbucks Won’t Mention: Howard Schultz Could Help Trump
2018-11-30,real,"On Politics: Pleading Guilty, Cohen Details Moscow Trump Tower Talks"
2018-11-27,real,"Cancer Pushes New York’s ‘First Girlfriend,’ Sandra Lee, Onto Political Stage"
2018-09-14,real,On Politics With Lisa Lerer: On to November
2018-09-05,real,Partisan Politics and Court Nominees
2018-09-22,real,On Politics: This Week’s Biggest Stories
2018-11-16,real,On Politics: Florida to Recount Senate Votes; Governor’s Race Nears End
2018-09-17,real,Kavanaugh and the Politics of Bad Faith
2018-11-01,real,Who’s to Blame for American Political Violence?
2019-04-06,real,"Bonded by Service, Freshman Veteran Democrats Are an Occasional Thorn in Their Party’s Side"
2019-02-22,real,"John Legend on Kanye West, Making Political Music and Morality in Art"
2018-11-11,real,Should the Press Boycott Trump? Political Strategists Weigh In
2018-10-19,real,On Politics: Trump Says He Believes Khashoggi Is Dead
2019-04-16,real,Aung San Suu Kyi Has a New Target: Political Satire
2018-11-01,real,13 Political Secrets People Kept From Family and Friends. What’s Yours? 
2019-05-01,real,"'Long Shot' Pairs Charlize Theron, Seth Rogen in Political Romance"
2018-10-04,real,On Politics With Lisa Lerer: Reality Check
2018-10-30,real,On Politics: Pittsburgh Massacre Happened Amid Rise in Anti-Semitism
2018-10-11,real,"Daniel Patrick Moynihan, the Anti-Trump of American Politics"
2019-01-17,real,The Fight Over Men Is Shaping Our Political Future
2019-02-21,real,A Green New Deal Is Technologically Possible. Its Political Prospects Are Another Question.
2018-10-02,real,On Politics With Lisa Lerer: War of the Sexes
2019-04-06,real,"Bonded by Service, Freshman Veteran Democrats Are an Occasional Thorn in Their Party’s Side"
2019-03-25,real,Iraq Ferry Accident Sets Off Political Upheaval in Mosul
2018-10-04,real,On Politics With Lisa Lerer: Reality Check
2018-12-05,real,When Does Political Art Cross the Line?
2018-09-28,real,"On Politics: An Emotional Hearing, With the Supreme Court at Stake"
2019-03-28,real,How the Battle Over Israel and Anti-Semitism Is Fracturing American Politics
2018-09-25,real,On Politics: Kavanaugh Says He Won’t Be ‘Intimidated’
2018-10-17,real,On Politics: Khashoggi Case Jeopardizes Trump’s Plans to Punish Iran
2018-08-16,real,Trump and the Politics of Arf
2018-09-26,real,On Politics: Trump Accuses Democrats of a ‘Con Game’
2019-03-28,real,How the Battle Over Israel and Anti-Semitism Is Fracturing American Politics
2018-09-25,real,On Politics: Kavanaugh Says He Won’t Be ‘Intimidated’
2018-09-19,real,On Politics With Lisa Lerer: A Moment for Women
2018-10-17,real,On Politics: Khashoggi Case Jeopardizes Trump’s Plans to Punish Iran
2018-10-10,real,Should Celebrities Weigh In on Politics?
2018-10-04,real,On Politics: Republicans Condemn Trump’s Mockery of Kavanaugh Accuser
2018-09-10,real,We’re Trying Something New. This Is ‘On Politics.’
2018-10-30,real,So You Have to Talk to Your Parents About Politics ...
2018-09-10,real,We’re Trying Something New. This Is ‘On Politics.’
2018-10-25,real,How 1994 Gave Us Today’s Politics
2018-09-11,real,On Politics: A Plan to Roll Back Methane Rules
2018-10-04,real,On Politics: Republicans Condemn Trump’s Mockery of Kavanaugh Accuser
2019-01-25,real,Border Wall Is Out of Sync With the Southwest’s Changing Politics
2018-10-19,real,The Orthodox Schism and the Spiritual Limits of Politics
2018-10-12,real,On Politics: Trump’s Fed Tirade Could Have Lasting Consequences
